"amount","sector"
"122.1","Infrastructure"
"95.5","Social Sectors"
"15.3","Environment and Natural Resources"
"35.2","Finance and Production Economy"
"10.6","Government and Public Administration"
"26.9","Manufacturing for Job Creation"
"338.2","Enhancing National Security"
"357.5","Investing in Critical Infrastructure"
"628.6","Enhancing Access to Quality Education Outcomes"
"105.4","Environmental Protection, Water and Natural Resources"
"82.1","Equity, Poverty Reduction, Women and Youth Empowerment"
"38.2","Social Protection and Affirmative Action"
"22.1","Stimulating Tourism Growth, Sports Culture and Recreation"
"385.4","Equitable Share to County Governments"
